namespace,pod,container,timestamp,cpu-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989460000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989520000,0.0002646885636856891
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989580000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989640000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989700000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989760000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989820000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989880000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731989940000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990000000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990060000,0.00038830634376211344
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990120000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990180000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990240000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990300000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990360000,7.54686123826367e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990420000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990480000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990540000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990600000,8.901240235159853e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990660000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990720000,0.00019732567713932086
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990780000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990840000,0.00012701247726881092
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990900000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731990960000,0.0002025683721572029
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991020000,0.00037928347085431366
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991080000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991140000,0.0007183370023422378
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991200000,0.00022888463069834883
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991260000,0.00025803233613282616
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991320000,0.00014682327146284328
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991380000,0.0005829987492348731
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991440000,0.00017570290000037405
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991500000,0.00036827397156221866
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991560000,8.958553669835921e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991620000,0.0005494393055801121
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991680000,0.00016566451173844743
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991740000,0.00044456683115185044
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991800000,0.00011025610722810835
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991860000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991920000,8.639769681267891e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731991980000,0.00037318732695657366
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992040000,8.923510110997015e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992100000,0.000612271525035601
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992160000,0.0002059576798938644
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992220000,0.0002887281157966368
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992280000,0.00019479766982680584
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992340000,0.00037896688949452643
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992400000,0.00017253089696314753
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731992460000,0.0004667163542075228
