namespace,pod,container,timestamp,mem-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993120000,0.09704166666666666
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993180000,0.097046875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993240000,0.097046875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993300000,0.09380208333333334
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993360000,0.08728515625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993420000,0.08475
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993480000,0.08475
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993540000,0.08458333333333333
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993600000,0.084484375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993660000,0.08443229166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993720000,0.084328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993780000,0.08426953125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993840000,0.08417708333333335
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993900000,0.07975937500000001
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731993960000,0.07733984375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994020000,0.07477604166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994080000,0.07447916666666665
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994140000,0.07434375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994200000,0.074296875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994260000,0.068859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994320000,0.06221875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994380000,0.061859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994440000,0.061859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994500000,0.061125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994560000,0.06102604166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994620000,0.061
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994680000,0.06074479166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994740000,0.0604609375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994800000,0.060734375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994860000,0.060921875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994920000,0.06074609375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731994980000,0.060625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995040000,0.060604166666666674
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995100000,0.06055729166666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995160000,0.06052734375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995220000,0.060421875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995280000,0.060296875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995340000,0.06059375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995400000,0.060989583333333326
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731995460000,0.061078125
