namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521400000,9.474814215650488e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521460000,0.0005903101090033723
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521520000,0.00013180878395276167
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521580000,0.0006066633216691056
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521640000,0.00016901762660357253
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521700000,0.0005082667972221224
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521760000,0.00020916271888758175
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521820000,0.0007339714126931031
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521880000,0.0002023666666670592
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731521940000,0.0002981104661712819
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522000000,6.5037231715773906e-06
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522060000,0.0003039755149243786
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522120000,0.00020609840032917564
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522180000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522240000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522300000,0.0003199526600372556
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522360000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522420000,0.00036167335052882094
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522480000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522540000,0.00044017537289324884
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522600000,8.992761548092336e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522660000,0.00031804537988945955
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522720000,0.00012048090947098538
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522780000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522840000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522900000,0.0002439105069604204
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731522960000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523020000,0.00032200920453517867
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523080000,1.2660010136713997e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523140000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523200000,0.00012805872157446035
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523260000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523320000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523380000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523440000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523500000,0.0001747070163847739
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523560000,0.00038200322108898627
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523620000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523680000,0.0005200163751389553
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523740000,0.00016357175002931437
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523800000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523860000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523920000,0.00040753473922477745
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731523980000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524040000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524100000,0.0001581572640043783
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524160000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524220000,0.0001533477222864328
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524280000,0.0004285020382428729
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524340000,7.952427140560901e-05
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524400000,0.0005403292173903775
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524460000,0.00018723849634801285
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524520000,0.0005752127170538413
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524580000,0.00015509486936043264
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731524640000,0.0004755870172125405
